index,column,importance
373,f373,1
188,f712,1
372,f596,1
68,f13,1
174,f131,1
35,f361,1
166,f453,1
355,f401,1
354,f668,1
152,f715,1
314,f283,1
322,f728,1
353,f178,1
119,f644,1
326,f191,1
327,f310,1
106,f166,1
333,f519,1
349,f630,1
348,f162,1
337,f707,1
338,f8,1
75,f289,1
342,f45,1
357,f132,1
300,f247,1
344,f76,1
219,f149,1
366,f20,1
365,f362,1
271,f663,1
6,f285,1
266,f713,1
270,f680,1
368,f481,1
371,f711,1
239,f428,1
231,f170,1
369,f670,1
295,f265,1
363,f700,1
370,f44,1
362,f311,1
361,f703,1
360,f672,1
299,f386,1
367,f608,1
82,f0,2
276,f243,2
285,f520,2
286,f492,2
335,f706,2
332,f640,2
323,f74,2
329,f617,2
325,f474,2
269,f12,2
288,f698,2
310,f48,2
259,f113,2
293,f430,2
307,f653,2
304,f116,2
96,f167,2
177,f173,2
289,f151,2
356,f709,2
2,f254,2
358,f242,2
345,f646,2
54,f110,2
343,f117,3
331,f7,3
52,f487,3
97,f692,3
268,f429,3
265,f666,3
111,f174,3
244,f145,3
321,f49,3
324,f108,3
320,f594,3
317,f621,3
316,f251,3
153,f297,3
187,f147,3
303,f281,3
352,f684,3
4,f652,3
235,f114,3
173,f61,3
341,f638,3
278,f726,3
339,f394,3
151,f154,4
301,f87,4
203,f309,4
62,f155,4
73,f642,4
39,f404,4
340,f473,4
127,f413,4
150,f313,4
346,f699,4
182,f52,4
282,f134,4
197,f111,4
330,f136,4
306,f615,4
7,f294,4
350,f514,4
364,f249,4
224,f112,5
298,f96,5
261,f719,5
227,f467,5
154,f11,5
76,f334,5
281,f535,5
209,f612,5
226,f5,5
236,f95,5
237,f524,5
347,f27,5
208,f57,5
205,f46,5
176,f292,5
245,f109,5
67,f229,5
272,f645,5
305,f657,5
95,f118,6
140,f654,6
257,f348,6
296,f649,6
51,f78,6
229,f349,6
194,f31,6
1,f56,6
287,f506,6
162,f115,6
283,f613,6
31,f405,6
334,f532,6
172,f316,6
155,f720,7
302,f664,7
40,f717,7
33,f88,7
168,f6,7
87,f60,7
199,f387,7
215,f584,7
267,f671,7
291,f368,7
250,f282,7
241,f9,7
277,f252,8
279,f275,8
184,f469,8
284,f416,8
19,f232,8
20,f639,8
359,f395,8
135,f98,8
315,f32,8
234,f597,8
131,f370,8
198,f628,9
242,f725,9
181,f626,9
253,f4,9
262,f625,9
204,f80,9
144,f286,9
118,f89,9
171,f714,9
351,f345,9
71,f525,9
137,f59,9
312,f554,9
311,f354,9
101,f651,9
309,f620,9
251,f662,10
147,f236,10
143,f635,10
336,f226,10
160,f230,10
59,f47,10
220,f530,11
65,f614,11
313,f618,11
308,f102,11
254,f104,11
129,f590,11
126,f471,11
34,f508,11
79,f268,11
5,f476,11
57,f660,11
121,f472,11
92,f470,11
248,f619,12
43,f86,12
274,f602,12
36,f463,13
86,f33,13
196,f603,13
240,f513,13
297,f605,13
328,f97,13
91,f400,13
26,f716,13
222,f65,14
50,f58,14
280,f647,14
213,f631,14
190,f276,14
290,f502,15
148,f511,15
63,f34,16
48,f35,16
318,f623,16
85,f99,16
18,f73,16
211,f582,16
212,f589,16
107,f604,16
201,f85,16
292,f91,17
264,f37,17
104,f606,17
275,f231,17
258,f90,17
294,f607,17
233,f93,17
228,f100,17
192,f650,17
195,f28,17
16,f94,18
117,f227,18
256,f593,18
319,f624,18
42,f676,18
102,f599,18
243,f722,18
161,f629,18
98,f82,18
214,f648,18
158,f351,18
252,f266,18
45,f255,19
29,f105,19
164,f595,19
69,f70,19
167,f598,19
149,f29,19
89,f84,19
32,f616,19
110,f592,19
246,f491,19
191,f601,20
115,f677,20
165,f92,20
185,f389,20
159,f38,20
189,f53,20
216,f235,20
105,f270,20
133,f287,21
210,f264,21
46,f622,21
113,f234,21
183,f600,21
108,f355,21
41,f66,21
207,f71,21
247,f633,21
146,f353,21
134,f374,21
218,f101,22
255,f591,22
178,f678,22
221,f632,22
238,f26,22
130,f81,23
80,f372,23
17,f724,23
15,f665,23
186,f393,24
44,f675,24
225,f531,24
157,f30,24
116,f488,24
37,f83,24
14,f406,24
138,f352,25
123,f388,25
103,f493,25
47,f350,26
55,f253,26
156,f293,26
112,f250,26
93,f611,26
58,f77,26
100,f75,26
99,f371,27
88,f637,27
8,f233,27
175,f274,28
114,f610,28
72,f723,28
230,f466,28
74,f3,28
3,f410,28
136,f588,28
84,f634,29
109,f679,29
28,f411,29
22,f273,29
25,f412,29
170,f269,29
169,f655,29
223,f369,30
202,f627,30
78,f67,31
120,f674,31
200,f21,32
13,f79,32
163,f238,32
142,f475,33
24,f512,34
56,f237,34
11,f357,34
145,f586,34
232,f656,34
70,f583,35
263,f507,35
193,f465,35
206,f228,35
10,f673,36
60,f356,36
27,f42,37
128,f636,37
122,f347,37
12,f661,37
94,f490,38
273,f383,38
21,f225,38
180,f346,39
249,f658,39
141,f72,39
64,f721,40
90,f344,40
260,f504,42
49,f392,42
66,f529,43
179,f103,45
9,f587,46
139,f24,47
23,f727,47
81,f40,48
53,f291,49
132,f585,49
0,f659,49
217,f385,50
77,f2,52
83,f1,54
124,f22,55
61,f39,55
30,f25,57
125,f41,63
38,f23,63
